127.0.0.1, 2017-03-02 12:15:17, GET, /Web2pyAdmin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.195000
127.0.0.1, 2017-03-02 12:15:17, GET, /Web2pyAdmin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.210000
127.0.0.1, 2017-03-02 12:15:17, GET, /Web2pyAdmin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.180000
127.0.0.1, 2017-03-02 12:15:17, GET, /Web2pyAdmin/static/_2.14.6/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.104000
127.0.0.1, 2017-03-02 12:15:17, GET, /Web2pyAdmin/static/_2.14.6/js/bootstrap.min.js, HTTP/1.1, 200, 0.180000
127.0.0.1, 2017-03-02 12:15:17, GET, /Web2pyAdmin/static/_2.14.6/images/questions.png, HTTP/1.1, 200, 0.131000
127.0.0.1, 2017-03-02 12:15:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-03-02 12:15:20, POST, /Web2pyAdmin/default/index, HTTP/1.1, 303, 0.220000
127.0.0.1, 2017-03-02 12:15:21, GET, /Web2pyAdmin/default/site, HTTP/1.1, 200, 0.235000
127.0.0.1, 2017-03-02 12:15:21, GET, /Web2pyAdmin/static/_2.14.6/images/folder.png, HTTP/1.1, 200, 0.040000
127.0.0.1, 2017-03-02 12:15:21, GET, /Web2pyAdmin/static/_2.14.6/images/folder_locked.png, HTTP/1.1, 200, 0.037000
127.0.0.1, 2017-03-02 12:15:21, GET, /Web2pyAdmin/static/_2.14.6/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.067000
127.0.0.1, 2017-03-02 12:15:22, POST, /Web2pyAdmin/default/check_version, HTTP/1.1, 200, 1.479000
127.0.0.1, 2017-03-02 12:15:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-03-02 12:15:34, GET, /OptimizerEngine/default/site, HTTP/1.1, 404, 0.850000
127.0.0.1, 2017-03-02 12:15:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-03-02 12:17:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-03-02 12:17:20, GET, /Web2pyAdmin/default/site, HTTP/1.1, 200, 0.273000
127.0.0.1, 2017-03-02 12:17:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-03-02 12:17:42, GET, /OptimizerWebView/default/site, HTTP/1.1, 404, 1.435000
127.0.0.1, 2017-03-02 12:17:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-03-02 12:17:47, GET, /OptimizerWebView/default/index, HTTP/1.1, 200, 0.392000
127.0.0.1, 2017-03-02 12:17:47, GET, /OptimizerWebView/static/css/calendar.css, HTTP/1.1, 200, 0.187000
127.0.0.1, 2017-03-02 12:17:47, GET, /OptimizerWebView/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.213000
127.0.0.1, 2017-03-02 12:17:47, GET, /OptimizerWebView/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.216000
127.0.0.1, 2017-03-02 12:17:47, GET, /OptimizerWebView/static/js/calendar.js, HTTP/1.1, 200, 0.217000
127.0.0.1, 2017-03-02 12:17:47, GET, /OptimizerWebView/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.214000
127.0.0.1, 2017-03-02 12:17:48, GET, /OptimizerWebView/static/js/jquery.js, HTTP/1.1, 200, 0.572000
127.0.0.1, 2017-03-02 12:17:48, GET, /OptimizerWebView/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.341000
127.0.0.1, 2017-03-02 12:17:48, GET, /OptimizerWebView/static/js/web2py.js, HTTP/1.1, 200, 0.402000
127.0.0.1, 2017-03-02 12:17:48, GET, /OptimizerWebView/static/js/share.js, HTTP/1.1, 200, 0.314000
127.0.0.1, 2017-03-02 12:17:48, GET, /OptimizerWebView/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.376000
127.0.0.1, 2017-03-02 12:17:49, GET, /OptimizerWebView/static/images/background.jpg, HTTP/1.1, 200, 0.496000
127.0.0.1, 2017-03-02 12:17:49, GET, /OptimizerWebView/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.494000
127.0.0.1, 2017-03-02 12:17:49, GET, /OptimizerWebView/static/images/gplus-32.png, HTTP/1.1, 200, 0.206000
127.0.0.1, 2017-03-02 12:17:49, GET, /OptimizerWebView/static/images/twitter.png, HTTP/1.1, 200, 0.208000
127.0.0.1, 2017-03-02 12:17:49, GET, /OptimizerWebView/static/images/facebook.png, HTTP/1.1, 200, 0.206000
127.0.0.1, 2017-03-02 12:17:49, GET, /OptimizerWebView/static/images/favicon.ico, HTTP/1.1, 200, 0.026000
127.0.0.1, 2017-03-02 12:18:05, GET, /OptimizerMessageQueue/default/index, HTTP/1.1, 500, 0.240000
127.0.0.1, 2017-03-02 12:18:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-03-02 12:18:23, GET, /OptimizerMessageQueue/default, HTTP/1.1, 500, 0.069000
127.0.0.1, 2017-03-02 12:18:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-03-02 12:18:26, GET, /OptimizerMessageQueue, HTTP/1.1, 500, 0.065000
127.0.0.1, 2017-03-02 12:18:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-03-02 12:20:30, GET, /OptimizerMessagingQueue, HTTP/1.1, 200, 1.574000
127.0.0.1, 2017-03-02 12:20:30, GET, /OptimizerMessagingQueue/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.259000
127.0.0.1, 2017-03-02 12:20:31, GET, /OptimizerMessagingQueue/static/js/calendar.js, HTTP/1.1, 200, 0.284000
127.0.0.1, 2017-03-02 12:20:31, GET, /OptimizerMessagingQueue/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.290000
127.0.0.1, 2017-03-02 12:20:31, GET, /OptimizerMessagingQueue/static/css/calendar.css, HTTP/1.1, 200, 0.287000
127.0.0.1, 2017-03-02 12:20:31, GET, /OptimizerMessagingQueue/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.302000
127.0.0.1, 2017-03-02 12:20:31, GET, /OptimizerMessagingQueue/static/js/jquery.js, HTTP/1.1, 200, 0.309000
127.0.0.1, 2017-03-02 12:20:31, GET, /OptimizerMessagingQueue/static/js/web2py.js, HTTP/1.1, 200, 0.220000
127.0.0.1, 2017-03-02 12:20:31, GET, /OptimizerMessagingQueue/static/js/share.js, HTTP/1.1, 200, 0.172000
127.0.0.1, 2017-03-02 12:20:31, GET, /OptimizerMessagingQueue/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.172000
127.0.0.1, 2017-03-02 12:20:31, GET, /OptimizerMessagingQueue/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.236000
127.0.0.1, 2017-03-02 12:20:31, GET, /OptimizerMessagingQueue/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.276000
